설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
대은보건진료소,경상북도,예천군,경상북도 예천군 용궁면 대은길 18,,36.5967357756,128.3129216149,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
덕계보건진료소,경상북도,예천군,경상북도 예천군 용궁면 덕계1길 71,,36.6493874252,128.318825407,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
중평보건진료소,경상북도,예천군,경상북도 예천군 유천면 중평길 99,,36.6672567098,128.355575871,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
송곡보건진료소,경상북도,예천군,경상북도 예천군 호명읍 호명로 305,,36.5874084003,128.4482203638,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
독양보건진료소,경상북도,예천군,경상북도 예천군 보문면 옥계천로 464,,36.7219684141,128.5693960687,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
수계보건진료소,경상북도,예천군,경상북도 예천군 보문면 수양길 8,,36.6861293231,128.5492333053,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
천향보건진료소,경상북도,예천군,경상북도 예천군 감천면 석송로 321-5,,36.7269362405,128.4909217591,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
부초보건진료소,경상북도,예천군,경상북도 예천군 은풍면 부용봉길 99-10,,36.7210667505,128.4476329064,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
석묘보건진료소,경상북도,예천군,경상북도 예천군 효자면 석묘리길 4,,36.7859971336,128.456900321,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
대제보건진료소,경상북도,예천군,경상북도 예천군 용문면 반서울로 376,,36.7023457945,128.4441967121,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
원류보건진료소,경상북도,예천군,경상북도 예천군 용문면 용문경천로 874-4,,36.7017283518,128.3808436031,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
풍양보건지소,경상북도,예천군,경상북도 예천군 풍양면 낙상2길 26-9,,36.5092755578,128.3020836278,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
지보보건지소,경상북도,예천군,경상북도 예천군 지보면 소화1길 20-7,,36.5467846138,128.3868635316,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
개포보건지소,경상북도,예천군,경상북도 예천군 개포면 용개로 1015,,36.6096668949,128.3640647243,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
용궁보건지소,경상북도,예천군,경상북도 예천군 용궁면 용개로 12,,36.6067492171,128.2824842363,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
유천보건지소,경상북도,예천군,경상북도 예천군 유천면 예성로 685,,36.6351256257,128.3885881863,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
호명보건지소,경상북도,예천군,경상북도 예천군 호명읍 오천길 23,,36.5939030362,128.4705456498,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
보문보건지소,경상북도,예천군,경상북도 예천군 보문면 미호길 110,,36.6647527493,128.5089030461,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
감천보건지소,경상북도,예천군,경상북도 예천군 감천면 포리2길 26,,36.7229879826,128.5286695492,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
효자은풍통합보건지소,경상북도,예천군,경상북도 예천군 은풍면 은풍로 100-7,,36.7455967996,128.4437812589,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
용문보건지소,경상북도,예천군,경상북도 예천군 용문면 용문경천로 1209-7,,36.688890249,128.4096958984,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
예천군보건소,경상북도,예천군,경상북도 예천군 예천읍 군청길 33,,36.6576982703,128.452977861,,예천군 보건소,054-650-6475,2025-12-17,5230000,경상북도 예천군
지역교육사회협의회,대전광역시,서구,대전광역시 서구 갈마로 34,대전광역시 서구 갈마동 338-22,36.3493572919,127.3690187,,대전광역시 서구,042-288-3582,2025-11-30,3660000,대전광역시 서구
서구노인지회,대전광역시,서구,대전광역시 서구 계룡로342번길 28,대전광역시 서구 갈마동 295-27,36.35267574,127.3661428,,대전광역시 서구,042-288-3582,2025-11-30,3660000,대전광역시 서구
둔산동 성당,대전광역시,서구,대전광역시 서구 둔산북로 175,대전광역시 서구 둔산동 1383,36.3559952861,127.3933992794,,대전광역시 서구,042-288-3582,2025-11-30,3660000,대전광역시 서구
건강약국,대전광역시,서구,대전광역시 서구 계백로 1166-12(가수원동),대전광역시 서구 가수원동 765-6,36.3042969077,127.3528777,,대전광역시 서구,042-288-3582,2025-11-30,3660000,대전광역시 서구
연호2리 경로당,경상북도,칠곡군,경상북도 칠곡군 지천면 연호2길 41,경상북도 칠곡군 지천면 연호리 863-183,35.93146238,128.5051248,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
복성3리 경로당,경상북도,칠곡군,경상북도 칠곡군 약목면 복성1길 46,경상북도 칠곡군 약목면 복성리 842-6,36.03545332,128.3632426,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
동안리 경로당,경상북도,칠곡군,경상북도 칠곡군 약목면 동안들1길 160-33,경상북도 칠곡군 약목면 동안리 34-1,36.03480997,128.3888625,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
인평2리 경로당,경상북도,칠곡군,경상북도 칠곡군 북삼읍 인평1길 54,경상북도 칠곡군 북삼읍 인평리 523-60,36.06253038,128.3375432,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
삼청2리 경로당,경상북도,칠곡군,경상북도 칠곡군 왜관읍 칠곡대로 1752-3,경상북도 칠곡군 왜관읍 삼청리 451-5,35.98302599,128.4236647,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
보건소,경상북도,칠곡군,경상북도 칠곡군 왜관읍 관문로1길 30,경상북도 칠곡군 왜관읍 매원리 692-5,35.99070797,128.4186406,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
호생약국,경상북도,칠곡군,경상북도 칠곡군 약목면 약목로5길 3,경상북도 칠곡군 약목면 복성리 856-5,36.03440849,128.3649085,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
새봄약국,경상북도,칠곡군,경상북도 칠곡군 석적읍 북중리3길 31,경상북도 칠곡군 석적읍 중리 92-19,36.07801367,128.4097445,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
은혜약국,경상북도,칠곡군,경상북도 칠곡군 왜관읍 2번도로길 52,경상북도 칠곡군 왜관읍 왜관리 251-21,35.99227713,128.3977326,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
효성해링턴2단지,경상북도,칠곡군,경상북도 칠곡군 석적읍 남율로9길 61 (칠곡남율효성해링턴플레이스2단지),경상북도 칠곡군 석적읍 남율리 1337,36.06876628,128.4041559,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
효성해링턴플레이스,경상북도,칠곡군,경상북도 칠곡군 석적읍 남율로9길 33 (칠곡남율효성해링턴플레이스1단지),경상북도 칠곡군 석적읍 남율리 1087,36.06773669,128.4011946,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
삼주강변타운,경상북도,칠곡군,경상북도 칠곡군 약목면 관호8길 28-18 (삼주강변타운),경상북도 칠곡군 약목면 관호리 952,36.00169268,128.3880675,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
왜관우방타운,경상북도,칠곡군,경상북도 칠곡군 왜관읍 석전로7길 40 (왜관3차우방타운),경상북도 칠곡군 왜관읍 석전리 479,36.00441412,128.4082915,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
약목면 오성타워맨션,경상북도,칠곡군,경상북도 칠곡군 약목면 복성13길 24 (약목오성타워맨션),경상북도 칠곡군 약목면 복성리 701,36.03738581,128.3595459,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
약목면 성재아파트,경상북도,칠곡군,경상북도 칠곡군 약목면 관호8길 32-2 (성재아파트),경상북도 칠곡군 약목면 관호리 산 74-10,36.00132519,128.3884257,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
석적읍 한솔솔파크강변,경상북도,칠곡군,경상북도 칠곡군 석적읍 석적로 905 (한솔솔파크강변아파트),경상북도 칠곡군 석적읍 남율리 764,36.07120254,128.3942591,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
기산 월드피아아파트,경상북도,칠곡군,경상북도 칠곡군 기산면 지산로 961 (월드피아아파트),경상북도 칠곡군 기산면 죽전리 274-4,35.98630812,128.3796082,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
협성휴포레왜관,경상북도,칠곡군,경상북도 칠곡군 왜관읍 평장길 20 (협성휴포레칠곡왜관),경상북도 칠곡군 왜관읍 왜관리 1571,35.98577513,128.4013026,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
무성그린맨션,경상북도,칠곡군,경상북도 칠곡군 왜관읍 군청4길 32 (무성그린맨션),경상북도 칠곡군 왜관읍 석전리 771-4,35.99945342,128.3997521,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
왜관 한빛타운,경상북도,칠곡군,경상북도 칠곡군 왜관읍 석전로 77 (왜관한빛타운),경상북도 칠곡군 왜관읍 석전리 561,36.00080523,128.4062618,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
왜관읍 주공3단지,경상북도,칠곡군,경상북도 칠곡군 왜관읍 평장7길 11 (왜관주공3단지아파트),경상북도 칠곡군 왜관읍 왜관리 590,35.98676073,128.4113707,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
왜관읍 주공1단지,경상북도,칠곡군,경상북도 칠곡군 왜관읍 자조1길 10 (칠곡왜관2단지주공아파트),경상북도 칠곡군 왜관읍 왜관리 777-34,35.98250257,128.3974185,,경상북도 칠곡군청,054-979-8210,2025-12-23,5220000,경상북도 칠곡군
서울역센트럴자이,서울특별시,중구,서울특별시 중구 만리재로 175,서울특별시 중구 만리동2가 273,37.55382801,126.9640273,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
신당KCC스위첸,서울특별시,중구,"서울특별시 중구 난계로 130, 101동 (신당동, 신당KCC스위첸)",서울특별시 중구 신당동  856,37.56312584,127.0247943,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
진양아파트,서울특별시,중구,서울특별시 중구 퇴계로 217,서울특별시 중구 충무로4가 120-3,37.56242271,126.9959312,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
나눔약국,세종특별자치시,없음,"세종특별자치시 도움3로 105-7, 메디케어빌딩 109호 (종촌동)",세종특별자치시 종촌동 658,36.50452175,127.2496483,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
백일약국,세종특별자치시,없음,세종특별자치시 조치원읍 섭골길 38,세종특별자치시 조치원읍 신안리 393-14,36.6143749828,127.2892555497,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
신흥약국,세종특별자치시,없음,세종특별자치시 조치원읍 새내16길 4,세종특별자치시 조치원읍 교리 15-5,36.60383888,127.2978488,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
조치원약국,세종특별자치시,없음,세종특별자치시 조치원읍 새내로 98,세종특별자치시 조치원읍 원리 7-16,36.60057958,127.2985925,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
대수약국,세종특별자치시,없음,세종특별자치시 조치원읍 새내5길 2,세종특별자치시 조치원읍 정리 99-1,36.5983475454,127.2984507205,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
허약국,세종특별자치시,없음,세종특별자치시 조치원읍 조치원로 42-2,세종특별자치시 조치원읍 상리 141,36.60150877,127.3017665,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
바다약국,세종특별자치시,없음,세종특별자치시 조치원읍 조치원로 31,세종특별자치시 조치원읍 원리 3-5,36.60168811,127.3001202,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
김약국,세종특별자치시,없음,세종특별자치시 조치원읍 조치원로 26,세종특별자치시 조치원읍 원리 4-15,36.60131444,127.2995696,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
좋은약국,세종특별자치시,없음,세종특별자치시 조치원읍 새내로 88,세종특별자치시 조치원읍 정리 87-25,36.59980056,127.2986225,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
십자약국,세종특별자치시,없음,세종특별자치시 조치원읍 새내로 96,세종특별자치시 조치원읍 원리 7-23,36.60042573,127.2984589,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
감초당 온누리 약국,세종특별자치시,없음,세종특별자치시 조치원읍 새내9길 3,세종특별자치시 조치원읍 정리 102-3,36.60017655,127.2981045,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
열린약국,세종특별자치시,없음,세종특별자치시 조치원읍 새내로 77-1,세종특별자치시 조치원읍 정리 101-37,36.59886555,127.2983309,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
참좋은약국,세종특별자치시,없음,세종특별자치시 조치원읍 대첩로 17,세종특별자치시 조치원읍 신흥리 77-6,36.5953310177,127.2941944268,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
평화당한약국,세종특별자치시,없음,세종특별자치시 조치원읍 새내8길 36-8,세종특별자치시 조치원읍 정리 51-1,36.59925711,127.3005136,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
하나로약국,세종특별자치시,없음,세종특별자치시 조치원읍 도원2로 39,세종특별자치시 조치원읍 신흥리 172-4,36.5927075455,127.287016636,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
성지약국,세종특별자치시,없음,"세종특별자치시 조치원읍 새내8길 7, 102호",세종특별자치시 조치원읍 정리 87-5,36.59946373,127.2988692,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
샬롬약국,세종특별자치시,없음,세종특별자치시 조치원읍 새내로 72,세종특별자치시 조치원읍 남리 33-2,36.59824932,127.2988099,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
역전약국,세종특별자치시,없음,세종특별자치시 조치원읍 으뜸길 208,세종특별자치시 조치원읍 원리 11-9,36.60080078,127.297056,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
새건강약국,세종특별자치시,없음,세종특별자치시 조치원읍 조치원로 7,세종특별자치시 조치원읍 원리 9-28,36.60145234,127.297618,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
신세종약국,세종특별자치시,없음,세종특별자치시 조치원읍 새내로 88-1,세종특별자치시 조치원읍 정리 87-19,36.5997147261,127.2986419572,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
다나약국,세종특별자치시,없음,세종특별자치시 조치원읍 새내로 102,세종특별자치시 조치원읍 원리 7-6,36.60097199,127.2984302,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을11단지,세종특별자치시,없음,세종특별자치시 마음로 152,세종특별자치시 고운동 1409,36.51228648,127.2309849,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을8단지,세종특별자치시,없음,세종특별자치시 만남로 92,세종특별자치시 고운동 1706,36.50569802,127.2407533,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을7단지,세종특별자치시,없음,세종특별자치시 마음안로 13,세종특별자치시 고운동 1724,36.505099727,127.2393723023,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을6단지,세종특별자치시,없음,세종특별자치시 마음로 14,세종특별자치시 고운동 1728,36.5026188,127.2397981,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을4단지,세종특별자치시,없음,세종특별자치시 마음안로 48,세종특별자치시 고운동 1703,36.50679972,127.2372679,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을3단지,세종특별자치시,없음,세종특별자치시 마음안로 47,세종특별자치시 고운동 1708,36.5056254096,127.2361878909,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을1단지,세종특별자치시,없음,세종특별자치시 마음로 67,세종특별자치시 고운동 1729,36.50482142,127.2327859,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
중구청,서울특별시,중구,서울특별시 중구 창경궁로 17,서울특별시 중구 예관동 120-1,37.56412015,126.9980097,1층 후문,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
소공동 주민센터,서울특별시,중구,서울특별시 중구 남대문로1길 31-5,서울특별시 중구 북창동 20-5,37.56242289,126.9770419,민원실 안,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
회현동 주민센터,서울특별시,중구,서울특별시 중구 퇴계로8길 46,서울특별시 중구 회현동1가 164,37.55728611,126.9793555,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
명동 주민센터,서울특별시,중구,서울특별시 중구 퇴계로20길 3,서울특별시 중구 남산동2가 9-6,37.5600479,126.9858184,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
필동 주민센터,서울특별시,중구,서울특별시 중구 퇴계로36길 42,서울특별시 중구 필동2가 78-2,37.56015769,126.9955974,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
장충동 주민센터,서울특별시,중구,서울특별시 중구 장충단로8길 22,서울특별시 중구 장충동1가 37-14,37.56190715,127.0078401,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
광희동 주민센터,서울특별시,중구,서울특별시 중구 퇴계로 303-9,서울특별시 중구 광희동1가 252,37.56446028,127.005037,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
을지로동 주민센터,서울특별시,중구,서울특별시 중구 충무로9길 20,서울특별시 중구 을지로3가 95-7,37.56701313,126.9913203,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
신당동 주민센터,서울특별시,중구,서울특별시 중구 다산로33길 3,서울특별시 중구 신당동 300-6,37.56210861,127.014538,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
다산동 주민센터,서울특별시,중구,서울특별시 중구 동호로15길 50,서울특별시 중구 신당동 432-24,37.55433289,127.0082945,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
약수동 주민센터,서울특별시,중구,서울특별시 중구 다산로 92,서울특별시 중구 신당동 366-15,37.55247345,127.0089948,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
청구동 주민센터,서울특별시,중구,서울특별시 중구 청구로3길 55,서울특별시 중구 신당동 333-17,37.55706761,127.0146854,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
신당5동 주민센터,서울특별시,중구,서울특별시 중구 다산로44길 85,서울특별시 중구 신당동 150-7,37.5651269,127.0218661,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
동화동 주민센터,서울특별시,중구,서울특별시 중구 다산로36길 100,서울특별시 중구 신당동 850,37.55998237,127.0194224,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
황학동 주민센터,서울특별시,중구,서울특별시 중구 난계로11길 52,서울특별시 중구 황학동 1010,37.56742273,127.0213823,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
중림동 주민센터,서울특별시,중구,서울특별시 중구 만리재로 175,서울특별시 중구 만리동2가 273,37.55382801,126.9640273,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
정동아파트,서울특별시,중구,서울특별시 중구 정동길 13,서울특별시 중구 정동 18-1,37.56729037,126.9702944,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
순화동포스코더샆,서울특별시,중구,서울특별시 중구 칠패로 27,서울특별시 중구 순화동 151,37.5602669,126.9720353,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
덕수궁롯데캐슬,서울특별시,중구,"서울특별시 중구 서소문로9길 28, 102동 (순화동, 덕수궁롯데캐슬)",서울특별시 중구 순화동  217,37.56370849,126.970043,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
별장아파트,서울특별시,중구,서울특별시 중구 퇴계로12길 88,서울특별시 중구 회현동1가 147-20,37.55571932,126.9818214,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
청계천두산위브더제니스,서울특별시,중구,서울특별시 중구 다산로46길 17,서울특별시 중구 흥인동 13-1,37.5668676,127.0171229,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
신당파인힐하나유보라,서울특별시,중구,"서울특별시 중구 왕십리로 407, 102동 (신당동, 신당 파인힐 하나유보라)",서울특별시 중구 신당동 855,37.564780,127.024710,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
한진해모로아파트(일반분양동),서울특별시,중구,"서울특별시 중구 왕십리로39길 30, 104동 (신당동, 한진해모로)",서울특별시 중구 신당동 845,37.56372841,127.0257107,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
한진해모로아파트(임대동),서울특별시,중구,"서울특별시 중구 왕십리로39길 30, 104동 (신당동, 한진해모로)",서울특별시 중구 신당동 845,37.56372841,127.0257107,,서울특별시 중구,02-3396-5486,2026-01-26,3010000,서울특별시 중구
송학보건진료소,세종특별자치시,없음,세종특별자치시 장군면 황미창말길 5-4,세종특별자치시 장군면 송학리 210-12,36.53814427,127.1902482,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
양곡보건진료소,세종특별자치시,없음,세종특별자치시 전의면 양지편길 17,세종특별자치시 전의면 양곡리 303-7,36.6402665477,127.1779809661,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
소정면보건지소,세종특별자치시,없음,세종특별자치시 소정면 소정구길 201,세종특별자치시 소정면 소정리 156-5,36.7220348792,127.15723683,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
전동면보건지소,세종특별자치시,없음,세종특별자치시 전동면 운주산로 386,세종특별자치시 전동면 노장리 583,36.6560525046,127.2637277115,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
연서면보건지소,세종특별자치시,없음,세종특별자치시 연서면 대첩로 238,세종특별자치시 연서면 성제리 293,36.5925687582,127.2715220683,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
전의면보건지소,세종특별자치시,없음,세종특별자치시 전의면 만세길 20-12,세종특별자치시 전의면 읍내리 250-3,36.678489648,127.2048256491,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
금남면보건지소,세종특별자치시,없음,세종특별자치시 금남면 용포로 59,세종특별자치시 금남면 용포리 122-1,36.4641137986,127.2805346419,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
부강면보건지소,세종특별자치시,없음,세종특별자치시 부강면 청연로 21-9,세종특별자치시 부강면 부강리 138-1,36.5295088548,127.3712909857,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
연동면보건지소,세종특별자치시,없음,세종특별자치시 연동면 장욱진로 7,세종특별자치시 연동면 내판리 33-1,36.5553423,127.3273282,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
장군면보건지소,세종특별자치시,없음,세종특별자치시 장군면 장기초교길 11-1,세종특별자치시 장군면 도계리 163-11,36.49712843,127.2073287,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
연기면보건지소,세종특별자치시,없음,세종특별자치시 당산로 81,세종특별자치시 한별동 317-31,36.5419050089,127.2731692993,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
남부통합보건지소,세종특별자치시,없음,세종특별자치시 새롬로 14,세종특별자치시 새롬동 567,36.4861243038,127.2565288979,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
조치원읍 보건소,세종특별자치시,없음,세종특별자치시 조치원읍 대첩로 32,세종특별자치시 조치원읍 신흥리 53-1,36.596269162,127.2928905513,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
새나루마을11단지,세종특별자치시,없음,세종특별자치시 집현서2로 84,세종특별자치시 집현동 889,36.4972042377,127.3238885545,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
해밀마을2단지,세종특별자치시,없음,세종특별자치시 해밀3로 90,세종특별자치시 해밀동 118-2,36.527152219,127.2710197564,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
새나루마을12단지,세종특별자치시,없음,세종특별자치시 집현북로 52,세종특별자치시 집현동 422,36.5011661723,127.3249805754,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
새나루마을10단지,세종특별자치시,없음,세종특별자치시 시청대로 643,세종특별자치시 집현동 산 170-1,36.4944541274,127.3248924672,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
새나루마을9단지,세종특별자치시,없음,세종특별자치시 시청대로 642,세종특별자치시 집현동 883-11,36.4923670645,127.3231758438,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
새나루마을8단지,세종특별자치시,없음,세종특별자치시 집현서로 16,,36.489338,127.322459,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
새나루마을4단지,세종특별자치시,없음,세종특별자치시 집현서로 57,,36.492287,127.321592,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
새나루마을3단지,세종특별자치시,없음,세종특별자치시 집현서로 45,세종특별자치시 집현동 883-52,36.4911843125,127.3208866822,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
새나루마을2단지,세종특별자치시,없음,세종특별자치시 집현서로 15,세종특별자치시 집현동 883-115,36.4878607807,127.3214174941,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
새나루마을1단지,세종특별자치시,없음,세종특별자치시 남세종로 160,세종특별자치시 집현동 883-139,36.4862511955,127.3190847953,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을22단지,세종특별자치시,없음,세종특별자치시 마음로 322,세종특별자치시 고운동 1387,36.51893096,127.2415813,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을21단지,세종특별자치시,없음,세종특별자치시 마음안로 221,세종특별자치시 고운동 1390,36.51846858,127.2398402,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을20단지,세종특별자치시,없음,세종특별자치시 만남로 190,세종특별자치시 고운동 1396,36.5170635631,127.2410174664,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을19단지,세종특별자치시,없음,세종특별자치시 밝은뜰로 15,세종특별자치시 고운동 2111,36.5235984628,127.2328597117,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을18단지,세종특별자치시,없음,세종특별자치시 마음안1로 139,세종특별자치시 고운동 2112,36.5210681156,127.2351065942,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을17단지,세종특별자치시,없음,세종특별자치시 마음안1로 167,세종특별자치시 고운동 1386,36.51845163,127.2373206,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을16단지,세종특별자치시,없음,세종특별자치시 만남로 187,세종특별자치시 고운동 1395,36.51554572,127.2388349,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을14단지,세종특별자치시,없음,세종특별자치시 마음안로 131,세종특별자치시 고운동 1403,36.51426472,127.231620,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
가락마을13단지,세종특별자치시,없음,세종특별자치시 마음로 182,세종특별자치시 고운동 1401,36.51457618,127.2301233,,우체국공익재단,,2026-01-21,5690000,세종특별자치시
